runid,recall,precision,f-score
10_ROUGE-2,0.02274,0.01635,0.01902
11_ROUGE-2,0.02207,0.03077,0.0257
12_ROUGE-2,0.02207,0.02,0.02098
13_ROUGE-2,0.02074,0.00777,0.0113
14_ROUGE-2,0.01955,0.01596,0.01757
15_ROUGE-2,0.02912,0.00974,0.0146
16_ROUGE-2,0.01064,0.00588,0.00757
17_ROUGE-2,0.02606,0.01135,0.01581
18_ROUGE-2,0.02487,0.0256,0.02523
19_ROUGE-2,0.02061,0.01189,0.01508
1_ROUGE-2,0.03191,0.01263,0.0181
20_ROUGE-2,0.0234,0.01548,0.01863
21_ROUGE-2,0.02593,0.02473,0.02532
22_ROUGE-2,0.02394,0.01212,0.01609
23_ROUGE-2,0.02726,0.01739,0.02123
24_ROUGE-2,0.00785,0.00402,0.00532
25_ROUGE-2,0.01529,0.0061,0.00872
26_ROUGE-2,0.02487,0.02012,0.02224
27_ROUGE-2,0.02527,0.01371,0.01778
28_ROUGE-2,0.02114,0.01878,0.01989
29_ROUGE-2,0.00306,0.00274,0.00289
2_ROUGE-2,0.0258,0.0159,0.01967
30_ROUGE-2,0.02394,0.02027,0.02195
31_ROUGE-2,0.00572,0.00849,0.00684
32_ROUGE-2,0.00665,0.00365,0.00471
33_ROUGE-2,0.02434,0.02625,0.02526
34_ROUGE-2,0.01396,0.00811,0.01026
35_ROUGE-2,0.03218,0.01527,0.02071
36_ROUGE-2,0.01157,0.00819,0.00959
37_ROUGE-2,0.03324,0.01577,0.02139
38_ROUGE-2,0.02114,0.02228,0.0217
39_ROUGE-2,0.02314,0.02055,0.02177
3_ROUGE-2,0.02234,0.01673,0.01913
40_ROUGE-2,0.02527,0.01128,0.0156
41_ROUGE-2,0.02739,0.01327,0.01788
42_ROUGE-2,0.02859,0.01682,0.02118
43_ROUGE-2,0.02407,0.02117,0.02253
44_ROUGE-2,0.01037,0.00921,0.00976
45_ROUGE-2,0.01888,0.03492,0.02451
46_ROUGE-2,0.01609,0.00755,0.01028
47_ROUGE-2,0.02128,0.0153,0.0178
48_ROUGE-2,0.01862,0.01622,0.01734
49_ROUGE-2,0.01064,0.00472,0.00654
4_ROUGE-2,0.03005,0.0178,0.02236
50_ROUGE-2,0.02646,0.01289,0.01734
51_ROUGE-2,0.00918,0.00717,0.00805
52_ROUGE-2,0.01902,0.0146,0.01652
53_ROUGE-2,0.02699,0.01473,0.01906
54_ROUGE-2,0.02859,0.01738,0.02162
55_ROUGE-2,0.02074,0.01724,0.01883
56_ROUGE-2,0.0016,0.00113,0.00132
57_ROUGE-2,0.01157,0.0062,0.00807
58_ROUGE-2,0.02566,0.01123,0.01562
59_ROUGE-2,0.01835,0.02105,0.01961
5_ROUGE-2,0.02407,0.01107,0.01517
60_ROUGE-2,0.02952,0.01583,0.02061
61_ROUGE-2,0.02354,0.01734,0.01997
62_ROUGE-2,0.00372,0.00196,0.00257
63_ROUGE-2,0.0113,0.00602,0.00786
64_ROUGE-2,0.02527,0.02244,0.02377
65_ROUGE-2,0.00665,0.00837,0.00741
66_ROUGE-2,0.02713,0.01951,0.0227
67_ROUGE-2,0.02274,0.01373,0.01712
68_ROUGE-2,0.02434,0.02371,0.02402
69_ROUGE-2,0.00904,0.00999,0.00949
6_ROUGE-2,0.02181,0.02325,0.02251
70_ROUGE-2,0.00771,0.00672,0.00718
71_ROUGE-2,0.00173,0.00212,0.00191
72_ROUGE-2,0.01383,0.01036,0.01185
73_ROUGE-2,0.01875,0.02022,0.01946
74_ROUGE-2,0.02633,0.01262,0.01706
75_ROUGE-2,0.03285,0.01945,0.02443
76_ROUGE-2,0.00838,0.00716,0.00772
77_ROUGE-2,0.00798,0.00506,0.00619
78_ROUGE-2,0.02979,0.01787,0.02234
79_ROUGE-2,0.02434,0.02346,0.02389
7_ROUGE-2,0.03005,0.01702,0.02173
80_ROUGE-2,0.03218,0.01302,0.01854
81_ROUGE-2,0.00931,0.00774,0.00845
82_ROUGE-2,0.00146,0.00217,0.00175
83_ROUGE-2,0.02527,0.01075,0.01508
8_ROUGE-2,0.02566,0.02325,0.0244
9_ROUGE-2,0.00638,0.00452,0.00529
