runid,recall,precision,f-score
10_ROUGE-3,0.01412,0.01012,0.01179
11_ROUGE-3,0.01466,0.02052,0.0171
12_ROUGE-3,0.01452,0.01314,0.0138
13_ROUGE-3,0.01694,0.0063,0.00918
14_ROUGE-3,0.01277,0.01041,0.01147
15_ROUGE-3,0.02017,0.00669,0.01005
16_ROUGE-3,0.00807,0.00443,0.00572
17_ROUGE-3,0.01856,0.00803,0.01121
18_ROUGE-3,0.01573,0.0162,0.01596
19_ROUGE-3,0.01237,0.00711,0.00903
1_ROUGE-3,0.02219,0.00872,0.01252
20_ROUGE-3,0.01519,0.01001,0.01207
21_ROUGE-3,0.01439,0.01371,0.01404
22_ROUGE-3,0.01681,0.00846,0.01126
23_ROUGE-3,0.01963,0.01248,0.01526
24_ROUGE-3,0.00565,0.00288,0.00382
25_ROUGE-3,0.01224,0.00485,0.00695
26_ROUGE-3,0.01775,0.01433,0.01586
27_ROUGE-3,0.01627,0.00878,0.01141
28_ROUGE-3,0.01372,0.01217,0.0129
29_ROUGE-3,0.00229,0.00205,0.00216
2_ROUGE-3,0.01546,0.00949,0.01176
30_ROUGE-3,0.01681,0.01421,0.0154
31_ROUGE-3,0.0035,0.00522,0.00419
32_ROUGE-3,0.00363,0.00198,0.00256
33_ROUGE-3,0.01587,0.01713,0.01648
34_ROUGE-3,0.01116,0.00645,0.00818
35_ROUGE-3,0.02178,0.01027,0.01396
36_ROUGE-3,0.00968,0.00683,0.00801
37_ROUGE-3,0.02582,0.01218,0.01655
38_ROUGE-3,0.01425,0.01502,0.01462
39_ROUGE-3,0.01479,0.01312,0.01391
3_ROUGE-3,0.01466,0.01094,0.01253
40_ROUGE-3,0.01264,0.00561,0.00777
41_ROUGE-3,0.01506,0.00725,0.00979
42_ROUGE-3,0.02098,0.01228,0.01549
43_ROUGE-3,0.01573,0.01382,0.01471
44_ROUGE-3,0.0078,0.00692,0.00733
45_ROUGE-3,0.01224,0.02284,0.01594
46_ROUGE-3,0.01466,0.00684,0.00933
47_ROUGE-3,0.01277,0.00916,0.01067
48_ROUGE-3,0.00995,0.00866,0.00926
49_ROUGE-3,0.00834,0.00368,0.00511
4_ROUGE-3,0.0199,0.01173,0.01476
50_ROUGE-3,0.01856,0.00899,0.01211
51_ROUGE-3,0.00605,0.00471,0.0053
52_ROUGE-3,0.0117,0.00896,0.01015
53_ROUGE-3,0.01842,0.01,0.01296
54_ROUGE-3,0.01936,0.01172,0.0146
55_ROUGE-3,0.01089,0.00904,0.00988
56_ROUGE-3,0.00094,0.00066,0.00078
57_ROUGE-3,0.01129,0.00602,0.00785
58_ROUGE-3,0.01735,0.00754,0.01051
59_ROUGE-3,0.01129,0.01297,0.01207
5_ROUGE-3,0.01466,0.0067,0.0092
60_ROUGE-3,0.01963,0.01047,0.01366
61_ROUGE-3,0.01506,0.01106,0.01275
62_ROUGE-3,0.00323,0.00169,0.00222
63_ROUGE-3,0.01035,0.00549,0.00717
64_ROUGE-3,0.01748,0.01551,0.01644
65_ROUGE-3,0.00511,0.00645,0.0057
66_ROUGE-3,0.01896,0.01359,0.01583
67_ROUGE-3,0.01398,0.00841,0.0105
68_ROUGE-3,0.01735,0.01689,0.01712
69_ROUGE-3,0.00672,0.00744,0.00706
6_ROUGE-3,0.01372,0.01463,0.01416
70_ROUGE-3,0.00713,0.0062,0.00663
71_ROUGE-3,0.00134,0.00165,0.00148
72_ROUGE-3,0.00686,0.00512,0.00586
73_ROUGE-3,0.0121,0.01306,0.01256
74_ROUGE-3,0.01694,0.00807,0.01093
75_ROUGE-3,0.0234,0.01379,0.01735
76_ROUGE-3,0.00726,0.0062,0.00669
77_ROUGE-3,0.00726,0.00458,0.00562
78_ROUGE-3,0.01963,0.01173,0.01468
79_ROUGE-3,0.01681,0.01619,0.01649
7_ROUGE-3,0.0199,0.01121,0.01434
80_ROUGE-3,0.02528,0.01016,0.01449
81_ROUGE-3,0.00578,0.0048,0.00524
82_ROUGE-3,0.00108,0.00161,0.00129
83_ROUGE-3,0.01694,0.00716,0.01007
8_ROUGE-3,0.01815,0.01643,0.01725
9_ROUGE-3,0.00269,0.0019,0.00223
