runid,recall,precision,f-score
10_ROUGE-4,0.00707,0.00505,0.00589
11_ROUGE-4,0.00761,0.01071,0.0089
12_ROUGE-4,0.00734,0.00664,0.00697
13_ROUGE-4,0.01686,0.00622,0.00909
14_ROUGE-4,0.00598,0.00486,0.00536
15_ROUGE-4,0.01333,0.00439,0.0066
16_ROUGE-4,0.00789,0.00431,0.00557
17_ROUGE-4,0.01156,0.00497,0.00695
18_ROUGE-4,0.0087,0.00897,0.00883
19_ROUGE-4,0.00558,0.00319,0.00406
1_ROUGE-4,0.01469,0.00573,0.00824
20_ROUGE-4,0.00829,0.00544,0.00657
21_ROUGE-4,0.00734,0.007,0.00717
22_ROUGE-4,0.00965,0.00483,0.00644
23_ROUGE-4,0.01237,0.00783,0.00959
24_ROUGE-4,0.00503,0.00255,0.00338
25_ROUGE-4,0.01156,0.00455,0.00653
26_ROUGE-4,0.01074,0.00865,0.00958
27_ROUGE-4,0.00897,0.00482,0.00627
28_ROUGE-4,0.00653,0.00578,0.00613
29_ROUGE-4,0.00218,0.00195,0.00206
2_ROUGE-4,0.00829,0.00507,0.00629
30_ROUGE-4,0.00979,0.00826,0.00896
31_ROUGE-4,0.00326,0.0049,0.00392
32_ROUGE-4,0.0034,0.00185,0.0024
33_ROUGE-4,0.0087,0.0094,0.00904
34_ROUGE-4,0.01101,0.00634,0.00805
35_ROUGE-4,0.01469,0.00688,0.00937
36_ROUGE-4,0.00938,0.0066,0.00775
37_ROUGE-4,0.01904,0.00892,0.01215
38_ROUGE-4,0.00734,0.00775,0.00754
39_ROUGE-4,0.00761,0.00675,0.00715
3_ROUGE-4,0.00748,0.00557,0.00639
40_ROUGE-4,0.00571,0.00252,0.0035
41_ROUGE-4,0.00734,0.00352,0.00476
42_ROUGE-4,0.01387,0.00808,0.01021
43_ROUGE-4,0.00884,0.00775,0.00826
44_ROUGE-4,0.00734,0.00651,0.0069
45_ROUGE-4,0.00544,0.01025,0.00711
46_ROUGE-4,0.01414,0.00656,0.00896
47_ROUGE-4,0.00571,0.00408,0.00476
48_ROUGE-4,0.00272,0.00236,0.00253
49_ROUGE-4,0.00802,0.00352,0.00489
4_ROUGE-4,0.01292,0.00758,0.00955
50_ROUGE-4,0.01129,0.00543,0.00733
51_ROUGE-4,0.00571,0.00444,0.005
52_ROUGE-4,0.00449,0.00343,0.00389
53_ROUGE-4,0.01115,0.00602,0.00782
54_ROUGE-4,0.01251,0.00754,0.00941
55_ROUGE-4,0.00381,0.00315,0.00345
56_ROUGE-4,0.00082,0.00057,0.00067
57_ROUGE-4,0.01115,0.00592,0.00773
58_ROUGE-4,0.01047,0.00453,0.00632
59_ROUGE-4,0.00422,0.00485,0.00451
5_ROUGE-4,0.00748,0.0034,0.00467
60_ROUGE-4,0.01237,0.00657,0.00858
61_ROUGE-4,0.00802,0.00587,0.00678
62_ROUGE-4,0.00313,0.00163,0.00214
63_ROUGE-4,0.00965,0.00509,0.00666
64_ROUGE-4,0.01061,0.0094,0.00997
65_ROUGE-4,0.00476,0.00602,0.00532
66_ROUGE-4,0.01197,0.00855,0.00997
67_ROUGE-4,0.00694,0.00415,0.00519
68_ROUGE-4,0.01033,0.01006,0.01019
69_ROUGE-4,0.00598,0.00663,0.00629
6_ROUGE-4,0.00653,0.00697,0.00674
70_ROUGE-4,0.00666,0.00579,0.00619
71_ROUGE-4,0.00122,0.00151,0.00135
72_ROUGE-4,0,0,0
73_ROUGE-4,0.0053,0.00573,0.00551
74_ROUGE-4,0.00952,0.00451,0.00612
75_ROUGE-4,0.01645,0.00965,0.01216
76_ROUGE-4,0.00653,0.00556,0.00601
77_ROUGE-4,0.00694,0.00436,0.00536
78_ROUGE-4,0.01278,0.0076,0.00953
79_ROUGE-4,0.01006,0.00969,0.00987
7_ROUGE-4,0.01265,0.00709,0.00909
80_ROUGE-4,0.01836,0.00733,0.01048
81_ROUGE-4,0.0049,0.00405,0.00443
82_ROUGE-4,0.00095,0.00143,0.00114
83_ROUGE-4,0.00979,0.00411,0.00579
8_ROUGE-4,0.01129,0.0102,0.01072
9_ROUGE-4,0.00258,0.00182,0.00213
