ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,190,LARGESUMM.TXT,0.59302,0.25888,0.36042,1
ROUGE-1,191,LARGESUMM.TXT,0.64641,0.61257,0.62903,1
ROUGE-1,192,LARGESUMM.TXT,0.93069,0.75806,0.83556,1
ROUGE-1,193,LARGESUMM.TXT,1.00000,0.55952,0.71756,1
ROUGE-1,150,LARGESUMM.TXT,1.00000,0.59829,0.74866,1
ROUGE-1,194,LARGESUMM.TXT,0.65868,0.77465,0.71197,1
ROUGE-1,151,LARGESUMM.TXT,0.77174,0.36788,0.49825,1
ROUGE-1,195,LARGESUMM.TXT,0.64103,0.28902,0.39841,1
ROUGE-1,196,LARGESUMM.TXT,0.88889,0.72072,0.79602,1
ROUGE-1,152,LARGESUMM.TXT,0.65079,0.61194,0.63077,1
ROUGE-1,153,LARGESUMM.TXT,0.24000,0.30252,0.26766,1
ROUGE-1,197,LARGESUMM.TXT,0.75258,0.70192,0.72637,1
ROUGE-1,154,LARGESUMM.TXT,1.00000,0.58197,0.73575,1
ROUGE-1,198,LARGESUMM.TXT,0.72115,0.60484,0.65789,1
ROUGE-1,199,LARGESUMM.TXT,0.35417,0.19767,0.25373,1
ROUGE-1,155,LARGESUMM.TXT,0.95349,0.53947,0.68908,1
ROUGE-1,156,LARGESUMM.TXT,0.63830,0.28169,0.39088,1
ROUGE-1,157,LARGESUMM.TXT,0.89286,0.72816,0.80214,1
ROUGE-1,159,LARGESUMM.TXT,0.83582,0.58333,0.68712,1
ROUGE-1,160,LARGESUMM.TXT,0.94017,0.50691,0.65868,1
ROUGE-1,161,LARGESUMM.TXT,0.87963,0.62500,0.73077,1
ROUGE-1,162,LARGESUMM.TXT,0.73196,0.65438,0.69100,1
ROUGE-1,163,LARGESUMM.TXT,0.78082,0.54286,0.64045,1
ROUGE-1,164,LARGESUMM.TXT,0.75510,0.63248,0.68837,1
ROUGE-1,121,LARGESUMM.TXT,0.87248,0.48872,0.62651,1
ROUGE-1,165,LARGESUMM.TXT,0.55856,0.26609,0.36047,1
ROUGE-1,166,LARGESUMM.TXT,0.47403,0.34112,0.39674,1
ROUGE-1,122,LARGESUMM.TXT,0.61146,0.56471,0.58716,1
ROUGE-1,200,LARGESUMM.TXT,0.26829,0.07097,0.11224,1
ROUGE-1,167,LARGESUMM.TXT,0.62439,0.72316,0.67016,1
ROUGE-1,124,LARGESUMM.TXT,0.60000,0.53289,0.56446,1
ROUGE-1,201,LARGESUMM.TXT,0.92982,0.52475,0.67089,1
ROUGE-1,168,LARGESUMM.TXT,0.81818,0.57143,0.67290,1
ROUGE-1,125,LARGESUMM.TXT,0.78571,0.56122,0.65476,1
ROUGE-1,202,LARGESUMM.TXT,0.65730,0.52466,0.58354,1
ROUGE-1,169,LARGESUMM.TXT,0.88506,0.64706,0.74757,1
ROUGE-1,126,LARGESUMM.TXT,0.62416,0.40611,0.49206,1
ROUGE-1,203,LARGESUMM.TXT,0.93464,0.74093,0.82659,1
ROUGE-1,204,LARGESUMM.TXT,0.79661,0.65734,0.72031,1
ROUGE-1,127,LARGESUMM.TXT,1.00000,0.54902,0.70886,1
ROUGE-1,205,LARGESUMM.TXT,0.69643,0.47273,0.56318,1
ROUGE-1,129,LARGESUMM.TXT,0.74854,0.69565,0.72113,1
ROUGE-1,206,LARGESUMM.TXT,0.95146,0.56322,0.70758,1
ROUGE-1,207,LARGESUMM.TXT,0.81522,0.69444,0.75000,1
ROUGE-1,208,LARGESUMM.TXT,1.00000,0.56250,0.72000,1
