ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-4,190,LARGESUMM.TXT,0.38235,0.17105,0.23636,1
ROUGE-4,191,LARGESUMM.TXT,0.53378,0.48171,0.50641,1
ROUGE-4,192,LARGESUMM.TXT,0.90000,0.69903,0.78689,1
ROUGE-4,193,LARGESUMM.TXT,1.00000,0.59420,0.74545,1
ROUGE-4,150,LARGESUMM.TXT,1.00000,0.60417,0.75325,1
ROUGE-4,194,LARGESUMM.TXT,0.66393,0.70435,0.68354,1
ROUGE-4,151,LARGESUMM.TXT,0.81538,0.33125,0.47111,1
ROUGE-4,195,LARGESUMM.TXT,0.60317,0.26573,0.36893,1
ROUGE-4,196,LARGESUMM.TXT,0.85714,0.66667,0.75000,1
ROUGE-4,152,LARGESUMM.TXT,0.63333,0.53271,0.57868,1
ROUGE-4,153,LARGESUMM.TXT,0.13492,0.16346,0.14783,1
ROUGE-4,197,LARGESUMM.TXT,0.75342,0.68750,0.71895,1
ROUGE-4,154,LARGESUMM.TXT,1.00000,0.58947,0.74172,1
ROUGE-4,198,LARGESUMM.TXT,0.65000,0.53608,0.58757,1
ROUGE-4,199,LARGESUMM.TXT,0.27273,0.13235,0.17822,1
ROUGE-4,155,LARGESUMM.TXT,1.00000,0.53846,0.70000,1
ROUGE-4,156,LARGESUMM.TXT,0.49315,0.20339,0.28800,1
ROUGE-4,157,LARGESUMM.TXT,0.86364,0.69512,0.77027,1
ROUGE-4,159,LARGESUMM.TXT,0.80531,0.55152,0.65468,1
ROUGE-4,160,LARGESUMM.TXT,0.96875,0.51381,0.67148,1
ROUGE-4,161,LARGESUMM.TXT,0.90000,0.59016,0.71287,1
ROUGE-4,162,LARGESUMM.TXT,0.69318,0.62245,0.65591,1
ROUGE-4,163,LARGESUMM.TXT,0.78846,0.50617,0.61654,1
ROUGE-4,164,LARGESUMM.TXT,0.77922,0.62500,0.69364,1
ROUGE-4,121,LARGESUMM.TXT,0.84733,0.47639,0.60989,1
ROUGE-4,165,LARGESUMM.TXT,0.42529,0.17703,0.25000,1
ROUGE-4,166,LARGESUMM.TXT,0.32258,0.22472,0.26490,1
ROUGE-4,122,LARGESUMM.TXT,0.50394,0.44755,0.47407,1
ROUGE-4,200,LARGESUMM.TXT,0.00000,0.00000,0.00000,1
ROUGE-4,167,LARGESUMM.TXT,0.56024,0.63265,0.59425,1
ROUGE-4,124,LARGESUMM.TXT,0.59048,0.48438,0.53219,1
ROUGE-4,201,LARGESUMM.TXT,0.95556,0.51807,0.67188,1
ROUGE-4,168,LARGESUMM.TXT,0.79452,0.55238,0.65169,1
ROUGE-4,125,LARGESUMM.TXT,0.74336,0.50602,0.60215,1
ROUGE-4,202,LARGESUMM.TXT,0.61069,0.44199,0.51282,1
