runid,recall,precision,f-score
10_ROUGE-3,0.01711,0.02531,0.02042
11_ROUGE-3,0.01,0.02137,0.01362
12_ROUGE-3,0,0,0
13_ROUGE-3,0.01422,0.0108,0.01228
14_ROUGE-3,0.00867,0.0098,0.0092
15_ROUGE-3,0.00911,0.01282,0.01065
16_ROUGE-3,0.00311,0.00417,0.00356
17_ROUGE-3,0.01044,0.04304,0.0168
18_ROUGE-3,0,0,0
19_ROUGE-3,0.01933,0.02187,0.02052
1_ROUGE-3,0.01511,0.01076,0.01257
20_ROUGE-3,0.01756,0.02894,0.02186
21_ROUGE-3,0,0,0
22_ROUGE-3,0.01111,0.00866,0.00973
23_ROUGE-3,0,0,0
24_ROUGE-3,0,0,0
25_ROUGE-3,0.02067,0.01355,0.01637
26_ROUGE-3,0.00867,0.04167,0.01435
27_ROUGE-3,0,0,0
28_ROUGE-3,0.02444,0.01318,0.01712
29_ROUGE-3,0,0,0
2_ROUGE-3,0.01556,0.03095,0.02071
30_ROUGE-3,0.018,0.01598,0.01693
31_ROUGE-3,0.00622,0.00598,0.0061
32_ROUGE-3,0.00867,0.02632,0.01304
33_ROUGE-3,0.00089,0.00125,0.00104
34_ROUGE-3,0.00089,0.00036,0.00051
35_ROUGE-3,0.012,0.02564,0.01635
36_ROUGE-3,0.01667,0.02465,0.01989
37_ROUGE-3,0,0,0
38_ROUGE-3,0.02222,0.01832,0.02008
39_ROUGE-3,0.012,0.00865,0.01005
3_ROUGE-3,0.00622,0.0063,0.00626
40_ROUGE-3,0.01756,0.02665,0.02117
41_ROUGE-3,0,0,0
42_ROUGE-3,0.01578,0.01686,0.0163
43_ROUGE-3,0.01022,0.07372,0.01795
44_ROUGE-3,0.00044,0.00066,0.00053
45_ROUGE-3,0.00022,0.00056,0.00032
46_ROUGE-3,0.01,0.00712,0.00832
47_ROUGE-3,0.00111,0.01282,0.00204
48_ROUGE-3,0.00222,0.00493,0.00306
49_ROUGE-3,0.01467,0.03254,0.02022
4_ROUGE-3,0.01289,0.01652,0.01448
50_ROUGE-3,0.00089,0.00125,0.00104
51_ROUGE-3,0.00156,0.00103,0.00124
52_ROUGE-3,0,0,0
53_ROUGE-3,0.016,0.01709,0.01653
54_ROUGE-3,0.00867,0.03125,0.01357
55_ROUGE-3,0.01867,0.01683,0.0177
56_ROUGE-3,0.01422,0.03156,0.01961
57_ROUGE-3,0.00022,0.00014,0.00017
58_ROUGE-3,0.00089,0.01282,0.00166
59_ROUGE-3,0.01933,0.01923,0.01928
5_ROUGE-3,0.01378,0.01303,0.01339
60_ROUGE-3,0.00844,0.00686,0.00757
61_ROUGE-3,0.00244,0.01282,0.0041
62_ROUGE-3,0,0,0
63_ROUGE-3,0.01356,0.01862,0.01569
64_ROUGE-3,0.00311,0.00332,0.00321
65_ROUGE-3,0,0,0
66_ROUGE-3,0.00222,0.00475,0.00303
67_ROUGE-3,0,0,0
68_ROUGE-3,0.01333,0.03497,0.0193
69_ROUGE-3,0.00311,0.00997,0.00474
6_ROUGE-3,0.00867,0.01136,0.00983
70_ROUGE-3,0.00444,0.01282,0.0066
71_ROUGE-3,0.00222,0.00356,0.00273
72_ROUGE-3,0,0,0
73_ROUGE-3,0.01778,0.01425,0.01582
74_ROUGE-3,0.01978,0.01426,0.01657
75_ROUGE-3,0.01889,0.03027,0.02326
76_ROUGE-3,0,0,0
77_ROUGE-3,0,0,0
78_ROUGE-3,0.012,0.02036,0.0151
7_ROUGE-3,0.02267,0.02294,0.0228
8_ROUGE-3,0.00444,0.00202,0.00278
9_ROUGE-3,0.01644,0.00978,0.01226
