runid,recall,precision,f-score
10_ROUGE-4,0.00814,0.01215,0.00975
11_ROUGE-4,0.00136,0.00296,0.00186
12_ROUGE-4,0,0,0
13_ROUGE-4,0.00565,0.00427,0.00486
14_ROUGE-4,0,0,0
15_ROUGE-4,0.00904,0.01282,0.0106
16_ROUGE-4,0.00294,0.00397,0.00338
17_ROUGE-4,0.00181,0.00789,0.00294
18_ROUGE-4,0,0,0
19_ROUGE-4,0.01063,0.01205,0.0113
1_ROUGE-4,0.0061,0.00433,0.00506
20_ROUGE-4,0.00904,0.01508,0.0113
21_ROUGE-4,0,0,0
22_ROUGE-4,0.01085,0.00843,0.00949
23_ROUGE-4,0,0,0
24_ROUGE-4,0,0,0
25_ROUGE-4,0.01176,0.00766,0.00928
26_ROUGE-4,0,0,0
27_ROUGE-4,0,0,0
28_ROUGE-4,0.01583,0.00847,0.01104
29_ROUGE-4,0,0,0
2_ROUGE-4,0.00701,0.01419,0.00938
30_ROUGE-4,0.00927,0.00821,0.00871
31_ROUGE-4,0.00588,0.00565,0.00576
32_ROUGE-4,0,0,0
33_ROUGE-4,0.00068,0.00096,0.0008
34_ROUGE-4,0.00068,0.00027,0.00039
35_ROUGE-4,0.00339,0.0074,0.00465
36_ROUGE-4,0.00791,0.01181,0.00947
37_ROUGE-4,0,0,0
38_ROUGE-4,0.01357,0.01115,0.01224
39_ROUGE-4,0.01176,0.00844,0.00983
3_ROUGE-4,0.00565,0.00572,0.00568
40_ROUGE-4,0.00904,0.01386,0.01094
41_ROUGE-4,0,0,0
42_ROUGE-4,0.00701,0.0075,0.00725
43_ROUGE-4,0.00158,0.01282,0.00281
44_ROUGE-4,0.00023,0.00034,0.00027
45_ROUGE-4,0,0,0
46_ROUGE-4,0.0095,0.00673,0.00788
47_ROUGE-4,0.0009,0.01282,0.00168
48_ROUGE-4,0.00203,0.00462,0.00282
49_ROUGE-4,0.0061,0.01385,0.00847
4_ROUGE-4,0.00407,0.00524,0.00458
50_ROUGE-4,0.00068,0.00096,0.0008
51_ROUGE-4,0.00136,0.00089,0.00108
52_ROUGE-4,0,0,0
53_ROUGE-4,0.00746,0.00798,0.00771
54_ROUGE-4,0,0,0
55_ROUGE-4,0.00995,0.00895,0.00942
56_ROUGE-4,0.00543,0.01231,0.00754
57_ROUGE-4,0,0,0
58_ROUGE-4,0.00068,0.01282,0.00129
59_ROUGE-4,0.01085,0.0108,0.01082
5_ROUGE-4,0.0043,0.00406,0.00418
60_ROUGE-4,0.00791,0.00641,0.00708
61_ROUGE-4,0.00226,0.01282,0.00384
62_ROUGE-4,0,0,0
63_ROUGE-4,0.00452,0.00625,0.00525
64_ROUGE-4,0.00249,0.00266,0.00257
65_ROUGE-4,0,0,0
66_ROUGE-4,0.00203,0.00444,0.00279
67_ROUGE-4,0,0,0
68_ROUGE-4,0.00475,0.01282,0.00693
69_ROUGE-4,0.00294,0.0098,0.00452
6_ROUGE-4,0,0,0
70_ROUGE-4,0.0043,0.01282,0.00644
71_ROUGE-4,0.00203,0.0033,0.00251
72_ROUGE-4,0,0,0
73_ROUGE-4,0.00904,0.00722,0.00803
74_ROUGE-4,0.0113,0.00811,0.00944
75_ROUGE-4,0.0104,0.01685,0.01286
76_ROUGE-4,0,0,0
77_ROUGE-4,0,0,0
78_ROUGE-4,0.00339,0.00583,0.00429
7_ROUGE-4,0.01379,0.01397,0.01388
8_ROUGE-4,0.0043,0.00193,0.00266
9_ROUGE-4,0.00769,0.00454,0.00571
