runid,recall,precision,f-score
10_ROUGE-1,0.0621,0.09037,0.07361
11_ROUGE-1,0.04684,0.09637,0.06304
12_ROUGE-1,0.01139,0.0453,0.0182
13_ROUGE-1,0.06854,0.05243,0.05941
14_ROUGE-1,0.05479,0.06168,0.05803
15_ROUGE-1,0.05329,0.07394,0.06194
16_ROUGE-1,0.0174,0.02308,0.01984
17_ROUGE-1,0.04448,0.16587,0.07015
18_ROUGE-1,0.01783,0.02418,0.02053
19_ROUGE-1,0.06231,0.07015,0.066
1_ROUGE-1,0.07499,0.05391,0.06273
20_ROUGE-1,0.07155,0.11538,0.08833
21_ROUGE-1,0,0,0
22_ROUGE-1,0.03846,0.0302,0.03383
23_ROUGE-1,0.02364,0.03711,0.02888
24_ROUGE-1,0.01848,0.03446,0.02406
25_ROUGE-1,0.07649,0.05071,0.06099
26_ROUGE-1,0.04083,0.17399,0.06614
27_ROUGE-1,0.00193,0.01442,0.0034
28_ROUGE-1,0.07886,0.04317,0.0558
29_ROUGE-1,0.04555,0.05329,0.04912
2_ROUGE-1,0.05393,0.1038,0.07098
30_ROUGE-1,0.07263,0.06468,0.06842
31_ROUGE-1,0.04448,0.0428,0.04362
32_ROUGE-1,0.04083,0.116,0.0604
33_ROUGE-1,0.04792,0.06649,0.0557
34_ROUGE-1,0.03997,0.01645,0.02331
35_ROUGE-1,0.0434,0.0893,0.05841
36_ROUGE-1,0.05673,0.08255,0.06725
37_ROUGE-1,0.00193,0.05769,0.00374
38_ROUGE-1,0.07757,0.06428,0.0703
39_ROUGE-1,0.05952,0.04331,0.05014
3_ROUGE-1,0.03868,0.03911,0.03889
40_ROUGE-1,0.05716,0.08526,0.06844
41_ROUGE-1,0.01826,0.02369,0.02062
42_ROUGE-1,0.07198,0.07669,0.07426
43_ROUGE-1,0.03373,0.20128,0.05778
44_ROUGE-1,0.0434,0.06316,0.05145
45_ROUGE-1,0.0202,0.04821,0.02847
46_ROUGE-1,0.07671,0.05514,0.06416
47_ROUGE-1,0.01225,0.1044,0.02193
48_ROUGE-1,0.0116,0.02473,0.01579
49_ROUGE-1,0.06102,0.13004,0.08306
4_ROUGE-1,0.05135,0.06519,0.05745
50_ROUGE-1,0.03223,0.04472,0.03746
51_ROUGE-1,0.0679,0.04552,0.0545
52_ROUGE-1,0.05565,0.06149,0.05842
53_ROUGE-1,0.05393,0.05746,0.05564
54_ROUGE-1,0.04018,0.13319,0.06174
55_ROUGE-1,0.08036,0.07265,0.07631
56_ROUGE-1,0.04555,0.09707,0.062
57_ROUGE-1,0.02686,0.01742,0.02113
58_ROUGE-1,0.01375,0.13675,0.02499
59_ROUGE-1,0.07563,0.07521,0.07542
5_ROUGE-1,0.06554,0.06207,0.06376
60_ROUGE-1,0.05436,0.04443,0.0489
61_ROUGE-1,0.00924,0.04241,0.01517
62_ROUGE-1,0.01332,0.13248,0.02421
63_ROUGE-1,0.06016,0.08159,0.06926
64_ROUGE-1,0.06489,0.06914,0.06695
65_ROUGE-1,0.00817,0.02436,0.01224
66_ROUGE-1,0.01526,0.03139,0.02054
67_ROUGE-1,0.03073,0.04472,0.03643
68_ROUGE-1,0.05221,0.12981,0.07447
69_ROUGE-1,0.0245,0.07308,0.0367
6_ROUGE-1,0.04749,0.06159,0.05363
70_ROUGE-1,0.01912,0.05186,0.02794
71_ROUGE-1,0.02342,0.03677,0.02861
72_ROUGE-1,0.0043,0.01603,0.00678
73_ROUGE-1,0.07477,0.06029,0.06675
74_ROUGE-1,0.07821,0.05691,0.06588
75_ROUGE-1,0.05178,0.08131,0.06327
76_ROUGE-1,0.03094,0.05128,0.03859
77_ROUGE-1,0.04684,0.065,0.05445
78_ROUGE-1,0.05178,0.08583,0.06459
7_ROUGE-1,0.06962,0.0704,0.07001
8_ROUGE-1,0.05243,0.02425,0.03316
9_ROUGE-1,0.09218,0.05556,0.06933
